image data,label
"[[128 128 128 ... 210 189 203]
 [249 249 249 ... 208 190 200]
 [255 255 255 ... 231 197 191]
 ...
 [255 255 255 ...  23  23  25]
 [246 246 246 ...  27  26  27]
 [ 66  66  66 ...  69  69  69]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 252 253 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 254 251 255]
 [246 246 246 ... 243 241 246]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[107 114 125 ... 255 254 242]
 [227 237 249 ... 255 255 247]
 [251 255 255 ... 248 255 244]
 ...
 [255 255 255 ... 180 176 173]
 [246 246 246 ... 170 169 166]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[ 96 110 122 ... 255 255 255]
 [218 239 249 ... 255 255 255]
 [228 255 255 ... 255 255 255]
 ...
 [111 112 113 ... 160 157 160]
 [109 108 110 ... 160 156 159]
 [ 67  67  67 ...  67  67  67]]",subject13
"[[118 108 115 ... 255 255 255]
 [248 236 242 ... 255 255 255]
 [251 247 254 ... 255 255 255]
 ...
 [ 78  78  76 ... 255 255 255]
 [ 78  78  78 ... 246 246 246]
 [ 68  68  68 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 239 247]
 [249 249 249 ... 255 236 240]
 [255 255 255 ... 255 242 231]
 ...
 [255 255 255 ... 237 212 192]
 [246 246 246 ... 211 185 180]
 [ 66  66  66 ...  66  66  67]]",subject07
"[[128 128 128 ... 255 255 251]
 [249 249 249 ... 255 255 251]
 [255 255 255 ... 255 250 238]
 ...
 [255 255 255 ...  60  60  61]
 [246 246 246 ...  59  58  59]
 [ 66  66  66 ...  68  68  68]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject06
"[[117 117 107 ... 255 255 255]
 [248 247 234 ... 255 255 255]
 [254 240 236 ... 255 255 255]
 ...
 [105 100  95 ... 255 255 255]
 [104 100  98 ... 246 246 246]
 [ 68  68  68 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 250 238]
 [246 246 246 ... 246 236 227]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[108 116 127 ... 255 255 244]
 [231 240 249 ... 255 255 250]
 [253 255 255 ... 250 255 246]
 ...
 [255 255 255 ... 185 185 181]
 [246 246 246 ... 176 174 170]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 249 245]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  62  59  56]
 [240 238 231 ...  74  57  51]
 [ 66  66  66 ...  68  68  68]]",subject11
"[[ 36  36  35 ... 233 205 186]
 [ 90  90  87 ... 226 202 180]
 [ 87  88  88 ... 221 206 201]
 ...
 [ 58  62  52 ... 187 172 160]
 [ 60  63  53 ... 183 161 145]
 [ 68  68  68 ...  67  67  67]]",subject01
"[[104 102 102 ... 255 255 255]
 [221 217 217 ... 255 255 255]
 [215 210 237 ... 255 255 255]
 ...
 [ 80  82  85 ... 255 255 255]
 [ 79  81  84 ... 246 246 246]
 [ 68  68  68 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 252 240]
 [246 246 246 ... 246 239 221]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[ 99  90  87 ... 255 255 255]
 [214 197 191 ... 255 255 255]
 [204 195 202 ... 255 255 255]
 ...
 [102  96  86 ... 255 255 254]
 [ 99  91  84 ... 245 244 245]
 [ 68  68  68 ...  66  66  66]]",subject15
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 247 242]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 205 199 198]
 [246 246 246 ... 213 205 208]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[ 84  86  81 ... 243 242 231]
 [187 189 178 ... 248 240 217]
 [185 186 169 ... 254 244 213]
 ...
 [ 74  71  68 ... 221 202 201]
 [ 74  71  68 ... 210 193 200]
 [ 68  68  68 ...  66  66  66]]",subject08
"[[114 122 127 ... 255 243 242]
 [248 249 249 ... 255 251 253]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 181 155 155]
 [246 246 246 ... 179 152 146]
 [ 66  66  66 ...  67  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 176 160 133]
 [236 235 230 ... 168 162 145]
 [ 66  66  66 ...  67  67  67]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 247 241]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[129 120 101 ... 249 248 252]
 [249 237 208 ... 253 245 252]
 [244 227 243 ... 254 245 252]
 ...
 [249 250 255 ... 155 162 165]
 [245 244 246 ... 146 153 158]
 [ 66  66  66 ...  67  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 216 214 222]
 [246 246 246 ... 195 198 212]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[113 119 126 ... 255 244 242]
 [245 248 249 ... 255 249 252]
 [255 255 255 ... 255 255 255]
 ...
 [245 255 255 ... 195 170 169]
 [238 246 246 ... 194 165 159]
 [ 66  66  66 ...  66  67  67]]",subject12
"[[107 114 126 ... 255 255 244]
 [228 238 249 ... 255 255 247]
 [252 255 255 ... 249 255 246]
 ...
 [255 255 255 ... 185 183 180]
 [246 246 246 ... 175 174 171]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[118 128 128 ... 255 255 255]
 [246 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  91  88  89]
 [246 246 246 ... 102  97 100]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[111 108 110 ... 255 255 255]
 [240 235 238 ... 255 255 255]
 [255 253 236 ... 255 255 255]
 ...
 [204 203 204 ... 254 254 255]
 [195 193 188 ... 245 245 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [239 233 230 ... 255 255 255]
 [231 225 222 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject12
"[[119 128 128 ... 255 255 255]
 [246 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  91  89  90]
 [246 246 246 ... 102  98 100]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 244 251]
 [249 249 249 ... 255 245 251]
 [255 255 255 ... 255 254 255]
 ...
 [255 255 255 ... 115 112 115]
 [246 246 246 ... 118 115 116]
 [ 66  66  66 ...  67  67  67]]",subject13
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 240 228]
 [246 246 246 ... 246 225 214]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[106  91  98 ... 226 224 232]
 [226 202 218 ... 239 238 237]
 [254 252 253 ... 254 254 254]
 ...
 [188 183 184 ... 242 221 220]
 [182 179 179 ... 227 200 200]
 [ 67  67  67 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 246 236]
 [246 246 246 ... 246 234 228]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[ 56  70  72 ... 222 183 204]
 [130 159 160 ... 199 184 206]
 [130 139 152 ... 208 196 200]
 ...
 [ 33  33  32 ... 114 112 111]
 [ 36  36  37 ... 116 114 115]
 [ 68  68  68 ...  67  67  67]]",subject05
"[[119 115 120 ... 255 255 255]
 [248 248 249 ... 255 255 255]
 [255 254 254 ... 255 255 255]
 ...
 [101 112 110 ... 255 255 255]
 [103 112 106 ... 246 246 246]
 [ 68  67  68 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  59  50  48]
 [241 239 232 ...  89  58  48]
 [ 66  66  66 ...  68  68  68]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 248 237 254]
 [246 246 246 ... 235 230 244]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[106 113 126 ... 255 254 242]
 [227 238 249 ... 255 254 246]
 [250 254 255 ... 248 255 245]
 ...
 [255 255 255 ... 179 177 176]
 [246 246 246 ... 171 170 166]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 246 252 255]
 [246 246 246 ... 222 217 232]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[107 114 126 ... 255 255 244]
 [229 238 249 ... 255 255 246]
 [252 255 255 ... 248 255 245]
 ...
 [255 255 255 ... 183 183 181]
 [246 246 246 ... 177 174 170]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 200 194 193]
 [246 246 246 ... 207 200 203]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[111 118 126 ... 255 239 239]
 [246 248 249 ... 255 246 251]
 [255 255 255 ... 255 254 255]
 ...
 [245 255 255 ... 185 162 160]
 [238 246 246 ... 185 170 156]
 [ 66  66  66 ...  66  67  67]]",subject12
"[[ 73  71  73 ... 255 255 255]
 [164 158 164 ... 255 255 255]
 [163 159 161 ... 255 255 255]
 ...
 [146 153 157 ... 255 255 255]
 [143 152 155 ... 246 246 246]
 [ 67  67  67 ...  66  66  66]]",subject02
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 237 251 255]
 [246 246 246 ... 226 226 240]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 200 195 195]
 [246 246 246 ... 209 204 202]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 189 178 152]
 [239 237 230 ... 162 164 158]
 [ 66  66  66 ...  67  67  67]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 248 243]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 133 139 143]
 [238 236 231 ... 125 132 133]
 [ 66  66  66 ...  67  67  67]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 196 189 190]
 [246 246 246 ... 203 196 199]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[ 76  73  86 ... 255 255 249]
 [164 160 186 ... 255 255 250]
 [166 174 186 ... 247 252 254]
 ...
 [ 77  70  63 ... 196 196 204]
 [ 75  67  62 ... 188 186 192]
 [ 68  68  68 ...  66  66  66]]",subject03
"[[106  91  98 ... 226 224 233]
 [230 205 221 ... 238 239 237]
 [254 252 254 ... 254 254 254]
 ...
 [200 196 193 ... 239 219 218]
 [195 192 189 ... 221 195 196]
 [ 66  66  66 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 250 238]
 [246 246 246 ... 246 236 227]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[113 120 126 ... 255 244 243]
 [248 248 249 ... 255 252 253]
 [255 255 255 ... 255 255 255]
 ...
 [252 255 255 ... 194 168 170]
 [242 246 246 ... 195 166 159]
 [ 66  66  66 ...  66  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[109 116 124 ... 255 238 238]
 [244 248 249 ... 253 244 249]
 [255 255 255 ... 255 254 255]
 ...
 [246 255 255 ... 185 160 159]
 [239 246 246 ... 180 155 149]
 [ 66  66  66 ...  67  67  67]]",subject12
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 254 ... 255 255 255]
 ...
 [255 255 255 ... 247 237 216]
 [246 246 246 ... 239 228 200]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 254 ... 255 255 255]
 ...
 [255 255 255 ... 247 236 216]
 [246 246 246 ... 237 227 200]
 [ 66  66  66 ...  66  66  66]]",subject08
"[[117 128 128 ... 255 255 255]
 [245 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  89  87  88]
 [246 246 246 ... 100  96  99]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 235 244 250]
 [246 246 246 ... 210 209 220]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[117 128 128 ... 255 255 255]
 [243 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  91  89  88]
 [246 246 246 ... 100  96  99]
 [ 66  66  66 ...  68  68  68]]",subject05
"[[107 114 125 ... 255 254 242]
 [227 237 249 ... 255 255 247]
 [251 255 255 ... 248 255 244]
 ...
 [255 255 255 ... 180 176 173]
 [246 246 246 ... 170 169 166]
 [ 66  66  66 ...  67  67  67]]",subject02
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[102 103 110 ... 255 255 255]
 [223 225 236 ... 255 255 255]
 [225 232 243 ... 255 255 255]
 ...
 [ 67  68  68 ... 129 119 103]
 [ 65  66  66 ... 124 117 102]
 [ 68  68  68 ...  67  67  68]]",subject11
"[[ 83  74  67 ... 244 224 218]
 [180 167 151 ... 245 221 216]
 [155 155 152 ... 233 214 219]
 ...
 [ 69  67  66 ... 175 188 232]
 [ 72  68  66 ... 169 177 216]
 [ 68  68  68 ...  67  67  66]]",subject04
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ...  41  41  44]
 [246 246 246 ...  42  41  44]
 [ 66  66  66 ...  68  68  68]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [175 177 176 ... 117 101  91]
 [160 161 159 ... 105  92  78]
 [ 67  67  67 ...  68  68  68]]",subject11
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject07
